patch,top_5,top_10,top_20,median,Date
10.6,100.0,100.0,90.673,50.0,2020-03-18
10.7,100.0,95.292,83.506,50.0,2020-04-01
10.8,100.0,100.0,91.155,57.143,2020-04-15
10.9,100.0,100.0,87.988,66.667,2020-04-29
10.10,100.0,100.0,85.347,50.0,2020-05-13
10.11,100.0,100.0,95.591,51.429,2020-05-28
10.12,100.0,98.333,83.592,50.0,2020-06-10
10.13,100.0,86.003,75.264,50.0,2020-06-24
10.14,100.0,97.5,82.059,50.909,2020-07-08
10.15,100.0,94.0,79.284,50.0,2020-07-22
10.16,100.0,98.571,82.623,50.0,2020-08-05
10.17,100.0,95.0,95.0,100.0,2020-08-19
10.19,100.0,86.186,74.258,50.0,2020-09-16
10.20,100.0,100.0,97.5,60.0,2020-09-30
10.21,100.0,100.0,95.952,50.0,2020-10-14
10.22,100.0,100.0,100.0,57.143,2020-10-28
10.23,100.0,100.0,89.345,57.143,2020-11-11
10.25,100.0,93.0,79.385,50.0,2020-12-09
11.1,100.0,95.682,79.461,50.0,2021-01-06
11.2,100.0,100.0,85.157,50.0,2021-01-21
11.3,100.0,95.833,81.583,50.769,2021-02-03
11.4,100.0,89.491,77.1,50.0,2021-02-18
11.5,100.0,100.0,84.591,50.0,2021-03-03
11.6,100.0,98.333,84.962,50.0,2021-03-17
11.7,100.0,96.667,87.18,100.0,2021-03-31
11.9,100.0,88.5,77.86,50.0,2021-04-28
11.11,100.0,85.182,72.351,50.0,2021-05-26
11.12,100.0,100.0,89.81,50.0,2021-06-09
11.13,100.0,100.0,88.7,50.0,2021-06-23
11.14,100.0,92.5,79.822,50.0,2021-07-08
11.15,100.0,100.0,94.295,50.0,2021-07-21
11.16,100.0,93.05,79.606,54.195,2021-08-11
11.19,100.0,94.333,81.282,50.0,2021-09-22
11.21,100.0,98.462,84.293,56.35,2021-10-20
11.23,100.0,100.0,87.446,50.0,2021-11-17
11.24,100.0,100.0,88.957,52.787,2021-12-08
12.1,100.0,100.0,89.502,50.0,2022-01-05
12.2,100.0,100.0,94.528,50.0,2022-01-20
12.3,100.0,100.0,90.26,50.0,2022-02-02
12.4,100.0,100.0,82.906,50.0,2022-02-16
12.5,100.0,97.5,81.714,50.0,2022-03-02
12.6,100.0,98.0,83.958,50.0,2022-03-30
12.8,100.0,100.0,88.329,53.114,2022-04-27
12.10,100.0,100.0,90.526,50.0,2022-05-25
12.11,100.0,92.778,79.266,50.0,2022-06-08
12.12,100.0,100.0,91.004,50.0,2022-06-23
12.13,100.0,96.25,79.977,50.0,2022-07-13
12.14,100.0,100.0,97.889,50.588,2022-07-27
12.15,100.0,97.216,84.055,50.384,2022-08-10
12.16,100.0,97.5,78.333,75.0,2022-08-24
12.18,100.0,97.321,85.808,50.0,2022-09-21
12.23,100.0,100.0,90.561,56.25,2022-12-07
13.1,100.0,95.321,83.493,50.41,2023-01-11
13.3,100.0,100.0,83.931,50.0,2023-02-09
13.4,100.0,96.0,84.917,50.0,2023-02-23
13.5,100.0,100.0,87.274,50.0,2023-03-08
13.6,100.0,100.0,91.94,53.846,2023-03-22
13.7,100.0,85.833,71.111,66.667,2023-04-05
13.8,100.0,95.833,80.59,52.381,2023-04-19
13.10,100.0,100.0,85.878,50.439,2023-05-17
13.11,100.0,100.0,90.875,53.75,2023-06-01
13.12,100.0,100.0,86.962,54.545,2023-06-14
13.13,100.0,94.25,79.986,50.0,2023-06-28
13.14,100.0,100.0,87.147,50.0,2023-07-19
13.15,100.0,88.788,78.03,50.0,2023-08-02
13.18,100.0,98.0,79.517,64.102,2023-09-13
13.19,100.0,89.662,77.697,50.0,2023-09-27
